CustomerID,Gender,SeniorCitizen,Partner,Dependents,AgeGroup,City,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCallsLast6Months,Churn
CUST-100024,Female,0,Yes,Yes,56-65,Delhi,4,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,One Year,Yes,Electronic Check,100.36,345.0,2,No
CUST-100025,Female,0,No,No,26-35,Delhi,19,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card (Auto),48.53,979.94,2,No
CUST-100026,Female,0,No,Yes,18-25,Mumbai,30,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One Year,Yes,Bank Transfer (Auto),79.74,2354.81,1,No
CUST-100027,Female,1,No,Yes,18-25,Hyderabad,56,Yes,No,DSL,No,No,No,Yes,No,No,One Year,Yes,Bank Transfer (Auto),66.65,3769.42,1,No
CUST-100028,Female,0,No,No,26-35,Bangalore,51,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Mailed Check,67.08,3439.89,0,No
CUST-100029,Female,1,Yes,Yes,36-45,Kolkata,17,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,One Year,Yes,Mailed Check,87.07,1431.64,0,No
CUST-100030,Male,0,Yes,Yes,65+,Mumbai,24,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Electronic Check,91.48,,4,No
CUST-100031,Male,0,Yes,No,18-25,Bangalore,12,Yes,No,Fiber Optic,No,No,Yes,No,Yes,No,One Year,Yes,Bank Transfer (Auto),91.12,1189.46,2,No
CUST-100032,Female,0,Yes,Yes,36-45,Kolkata,15,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card (Auto),83.06,1208.43,1,No
CUST-100033,Female,0,No,No,18-25,Ahmedabad,56,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Mailed Check,44.24,2444.71,2,No
CUST-100034,Female,0,No,Yes,26-35,Pune,64,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One Year,Yes,Credit Card (Auto),95.32,6103.92,2,No
CUST-100035,Male,0,No,No,18-25,Kolkata,54,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One Year,No,Electronic Check,63.29,3461.04,2,No
CUST-100036,Female,0,No,No,26-35,Mumbai,3,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card (Auto),82.24,307.94,0,No
CUST-100037,Male,0,Yes,No,26-35,Pune,45,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Mailed Check,102.66,4601.79,2,No
CUST-100038,Male,0,Yes,Yes,46-55,Bangalore,71,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Mailed Check,38.74,2757.43,1,No
CUST-100039,Male,0,Yes,Yes,26-35,Chennai,10,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Mailed Check,58.12,563.61,2,No
CUST-100040,Male,0,Yes,Yes,36-45,Bangalore,17,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two Year,Yes,Bank Transfer (Auto),83.37,1396.64,0,No
CUST-100041,Male,0,Yes,No,46-55,Hyderabad,36,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Bank Transfer (Auto),78.07,2783.94,2,No
CUST-100042,Female,1,No,No,18-25,Delhi,19,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,77.2,1398.62,2,Yes
CUST-100043,Female,0,No,Yes,18-25,Hyderabad,72,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Two Year,No,Mailed Check,79.67,5779.4,1,No
CUST-100044,Female,0,Yes,Yes,18-25,Delhi,14,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two Year,No,Electronic Check,77.81,1094.44,1,No
CUST-100045,Female,0,Yes,Yes,18-25,Delhi,30,No,No Phone Service,Fiber Optic,No,No,Yes,No,No,Yes,Two Year,Yes,Electronic Check,105.71,3247.59,0,No
CUST-100046,Female,0,No,No,18-25,Bangalore,37,Yes,No,DSL,No,No,No,No,No,No,Two Year,Yes,Mailed Check,56.03,2114.33,1,No
CUST-100047,Male,0,Yes,No,18-25,Delhi,16,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-Month,No,Bank Transfer (Auto),72.78,1144.47,2,No
CUST-100048,Female,0,No,No,18-25,Delhi,46,No,No Phone Service,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Transfer (Auto),125.19,5701.68,0,No
CUST-100049,Female,0,No,No,18-25,Ahmedabad,18,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Transfer (Auto),96.78,1835.41,2,No
CUST-100050,Male,0,No,No,18-25,Bangalore,12,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Transfer (Auto),100.88,1125.63,2,No
CUST-100051,Female,0,Yes,Yes,18-25,Chennai,2,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,31.44,,0,Yes
CUST-100052,Male,0,No,Yes,36-45,Hyderabad,11,Yes,No,Fiber Optic,No,No,No,No,Yes,No,One Year,No,Credit Card (Auto),94.67,1025.06,3,No
CUST-100053,Female,1,Yes,No,,Delhi,31,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Electronic Check,96.56,2961.01,0,Yes
CUST-100054,Male,0,No,No,18-25,Mumbai,61,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Transfer (Auto),94.88,5745.11,0,No
CUST-100055,Female,1,Yes,No,36-45,Mumbai,6,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Electronic Check,53.62,260.66,1,No
CUST-100056,Female,0,Yes,No,18-25,Kolkata,10,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-Month,No,Bank Transfer (Auto),62.78,591.52,1,No
CUST-100057,Male,0,No,No,46-55,Mumbai,4,Yes,No,Fiber Optic,No,No,No,No,No,No,One Year,No,Mailed Check,92.93,369.16,1,No
CUST-100058,Male,0,No,No,18-25,Delhi,28,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,96.21,2709.16,1,Yes
CUST-100059,Male,0,No,No,18-25,Ahmedabad,72,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Transfer (Auto),76.83,5505.51,0,No
CUST-100060,Male,0,No,No,26-35,Pune,24,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Two Year,Yes,Electronic Check,110.77,2631.97,0,No
CUST-100061,Male,0,No,Yes,,Mumbai,23,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,52.15,1147.33,1,No
CUST-100062,Male,0,Yes,No,18-25,Chennai,19,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer (Auto),30.33,584.65,2,No
CUST-100063,Male,0,No,No,18-25,Hyderabad,2,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One Year,No,Credit Card (Auto),72.34,147.09,1,No
CUST-100064,Male,0,No,No,26-35,Bangalore,31,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Mailed Check,41.89,1317.57,3,No
CUST-100065,Female,0,No,No,46-55,Hyderabad,22,Yes,No,Fiber Optic,No,Yes,No,Yes,No,No,One Year,Yes,Electronic Check,94.61,2054.36,2,Yes
CUST-100066,Female,0,No,No,36-45,Mumbai,25,No,No Phone Service,Fiber Optic,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Mailed Check,106.64,2620.46,3,No
CUST-100067,Male,0,Yes,Yes,46-55,Ahmedabad,54,Yes,No,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Transfer (Auto),83.53,4509.64,0,No
CUST-100068,Female,0,No,No,18-25,Delhi,36,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,97.13,3522.71,2,No
CUST-100069,Female,1,Yes,Yes,18-25,Delhi,36,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card (Auto),54.28,1909.73,3,No
CUST-100070,Female,0,Yes,No,36-45,Bangalore,62,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,94.56,5831.34,0,No
CUST-100071,Female,1,No,No,18-25,Delhi,72,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Electronic Check,58.28,4134.93,1,No
CUST-100072,Male,0,Yes,Yes,26-35,Bangalore,20,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-Month,No,Electronic Check,49.04,922.21,0,No
CUST-100073,Female,0,No,Yes,18-25,Mumbai,2,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,One Year,No,Mailed Check,97.29,167.25,2,Yes
CUST-100074,Male,0,Yes,No,18-25,Chennai,14,Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Month-to-Month,No,Bank Transfer (Auto),102.46,1392.37,0,No
CUST-100075,Female,0,Yes,No,56-65,Delhi,37,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Electronic Check,101.95,3812.17,3,Yes
CUST-100076,Female,1,No,Yes,36-45,Ahmedabad,0,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,Month-to-Month,No,Credit Card (Auto),82.99,1.5,1,Yes
CUST-100077,Female,0,No,No,18-25,Mumbai,1,Yes,No,DSL,No,No,No,No,Yes,Yes,One Year,Yes,Electronic Check,78.72,141.98,0,No
CUST-100078,Male,0,No,No,26-35,Mumbai,1,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Bank Transfer (Auto),90.61,154.37,2,No
CUST-100079,Female,0,No,Yes,26-35,Delhi,31,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-Month,No,Electronic Check,67.93,2106.59,2,Yes
CUST-100080,Male,0,No,No,26-35,Hyderabad,16,Yes,No,DSL,Yes,No,No,No,No,No,One Year,No,Credit Card (Auto),71.37,1041.73,1,No
CUST-100081,Female,1,Yes,No,65+,Pune,11,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,One Year,Yes,Credit Card (Auto),108.28,1211.0,1,No
CUST-100082,Male,0,Yes,No,26-35,Hyderabad,2,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,Month-to-Month,No,Electronic Check,83.17,223.55,0,Yes
CUST-100083,Female,0,Yes,No,26-35,Kolkata,31,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card (Auto),47.07,1490.79,2,No
CUST-100084,Male,0,No,Yes,18-25,Chennai,9,Yes,No,Fiber Optic,Yes,No,No,No,No,No,One Year,Yes,Electronic Check,74.16,684.88,0,No
CUST-100085,Male,0,No,Yes,18-25,Mumbai,7,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,One Year,No,Bank Transfer (Auto),88.84,609.48,3,Yes
CUST-100086,Female,0,Yes,Yes,26-35,Delhi,25,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-Month,No,Credit Card (Auto),87.12,2119.1,1,No
CUST-100087,Male,0,No,No,56-65,Bangalore,19,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Transfer (Auto),35.97,714.71,1,No
CUST-100088,Female,0,No,No,65+,Ahmedabad,10,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card (Auto),44.64,436.64,1,Yes
CUST-100089,Female,0,Yes,No,36-45,Bangalore,24,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card (Auto),107.72,2600.89,3,Yes
CUST-100090,Female,0,Yes,No,36-45,Kolkata,7,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit Card (Auto),82.89,550.88,2,No
CUST-100091,Female,0,No,No,18-25,Mumbai,38,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Two Year,Yes,Electronic Check,124.66,4837.05,1,Yes
CUST-100092,Female,0,No,No,46-55,Chennai,6,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,49.07,306.37,0,Yes
CUST-100093,Female,0,No,No,56-65,Bangalore,4,No,No Phone Service,Fiber Optic,No,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Transfer (Auto),92.12,349.49,0,No
CUST-100094,Female,0,Yes,Yes,18-25,Delhi,36,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Transfer (Auto),102.83,3645.06,0,No
CUST-100095,Female,0,No,Yes,26-35,Mumbai,29,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Transfer (Auto),32.87,883.3,0,No
CUST-100096,Female,0,Yes,No,18-25,Bangalore,4,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Electronic Check,55.92,254.71,2,No
CUST-100097,Female,0,Yes,No,36-45,Kolkata,2,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two Year,No,Credit Card (Auto),67.07,105.03,2,No
CUST-100098,Female,0,No,No,18-25,Chennai,43,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,Yes,Credit Card (Auto),106.32,4549.26,1,Yes
CUST-100099,Male,0,Yes,No,36-45,Bangalore,35,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One Year,No,Mailed Check,86.56,3002.46,3,No
CUST-100100,Male,0,No,Yes,46-55,Kolkata,9,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Electronic Check,48.88,385.32,3,No
CUST-100101,Female,0,Yes,No,18-25,Delhi,25,Yes,Yes,DSL,No,Yes,No,No,No,No,Two Year,No,Electronic Check,65.43,1621.24,3,No
CUST-100102,Female,0,No,No,18-25,Delhi,3,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Electronic Check,71.43,217.11,1,Yes
CUST-100103,Female,0,No,No,18-25,Hyderabad,16,No,No Phone Service,Fiber Optic,Yes,No,No,No,No,No,One Year,Yes,Bank Transfer (Auto),78.06,1198.63,1,No
CUST-100104,Female,0,Yes,No,36-45,Hyderabad,0,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Credit Card (Auto),27.57,16.6,1,No
CUST-100105,Female,0,No,No,18-25,Bangalore,11,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two Year,Yes,Electronic Check,76.12,776.14,3,No
CUST-100106,Female,0,Yes,No,46-55,Hyderabad,1,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two Year,Yes,Bank Transfer (Auto),82.16,60.11,0,No
CUST-100107,Female,0,No,No,26-35,Mumbai,15,Yes,No,Fiber Optic,No,No,No,No,No,No,Two Year,Yes,Bank Transfer (Auto),88.05,1338.98,2,No
CUST-100108,Female,0,Yes,No,18-25,Mumbai,13,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One Year,Yes,Electronic Check,69.38,901.26,2,No
CUST-100109,Male,0,Yes,No,18-25,Kolkata,14,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Transfer (Auto),62.71,795.88,0,No
CUST-100110,Female,0,Yes,Yes,18-25,Bangalore,1,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Transfer (Auto),92.25,0.0,0,No
CUST-100111,Male,0,Yes,Yes,18-25,Delhi,10,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One Year,No,Credit Card (Auto),75.39,782.25,0,No
CUST-100112,Female,0,No,Yes,18-25,Bangalore,33,No,No Phone Service,Fiber Optic,No,Yes,Yes,Yes,No,No,One Year,Yes,Mailed Check,84.54,2824.33,2,No
CUST-100113,Female,0,Yes,Yes,36-45,Hyderabad,11,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Transfer (Auto),97.59,,2,No
CUST-100114,Male,0,Yes,No,18-25,Ahmedabad,30,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,44.76,1331.44,6,Yes
CUST-100115,Female,0,Yes,No,18-25,Pune,11,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,43.58,466.98,2,Yes
CUST-100116,Male,0,Yes,Yes,36-45,Ahmedabad,13,Yes,Yes,DSL,No,No,No,No,No,No,Two Year,Yes,Electronic Check,65.66,848.25,1,No
CUST-100117,Female,0,No,Yes,26-35,Mumbai,19,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,97.91,1889.55,2,Yes
CUST-100118,Female,1,No,Yes,18-25,Delhi,72,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,One Year,No,Electronic Check,81.15,5836.13,2,No
CUST-100119,Male,0,Yes,No,18-25,Bangalore,2,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,50.98,120.66,2,No
CUST-100120,Female,0,No,No,18-25,Delhi,0,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Transfer (Auto),98.41,65.71,1,Yes
CUST-100121,Male,1,No,No,56-65,Ahmedabad,22,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Bank Transfer (Auto),47.3,992.25,3,No
CUST-100122,Female,0,Yes,No,26-35,Delhi,71,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-Month,No,Electronic Check,116.98,8296.31,1,Yes
CUST-100123,Male,1,No,Yes,26-35,Delhi,72,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,65.21,4652.2,0,No
CUST-100124,Male,0,No,No,36-45,Hyderabad,15,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Transfer (Auto),45.3,659.83,0,No
CUST-100125,Female,1,No,Yes,26-35,Chennai,15,No,No Phone Service,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Electronic Check,71.29,1064.29,2,No
CUST-100126,Female,0,No,No,18-25,Bangalore,24,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One Year,Yes,Mailed Check,61.81,1439.46,1,No
CUST-100127,Male,0,Yes,No,56-65,Mumbai,19,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank Transfer (Auto),89.38,1617.02,0,No
CUST-100128,Female,0,No,No,26-35,Pune,24,Yes,No,Fiber Optic,Yes,No,Yes,No,No,Yes,One Year,Yes,Electronic Check,105.4,2464.27,2,Yes
CUST-100129,Female,0,No,No,18-25,Ahmedabad,49,Yes,No,DSL,No,No,No,No,No,No,Month-to-Month,Yes,Electronic Check,44.17,2186.51,1,No
CUST-100130,Female,0,No,No,36-45,Kolkata,32,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two Year,Yes,Electronic Check,73.27,2311.22,2,No
CUST-100131,Male,0,No,Yes,46-55,Kolkata,16,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Two Year,Yes,Electronic Check,86.74,1376.9,1,Yes
CUST-100132,Male,0,Yes,Yes,36-45,Kolkata,14,Yes,No,DSL,No,No,No,No,Yes,No,Two Year,Yes,Credit Card (Auto),59.28,832.39,1,No
CUST-100133,Male,0,No,No,26-35,Pune,24,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Two Year,Yes,Mailed Check,83.96,2060.4,0,No
CUST-100134,Male,0,No,No,65+,Pune,14,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-Month,No,Mailed Check,96.18,1332.33,2,No
CUST-100135,Male,0,Yes,Yes,18-25,Mumbai,14,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Transfer (Auto),100.29,1416.38,1,No
CUST-100136,Male,1,Yes,No,18-25,Mumbai,0,Yes,Yes,DSL,No,No,No,No,No,No,One Year,Yes,Electronic Check,61.46,0.0,3,No
CUST-100137,Male,0,No,No,18-25,Mumbai,4,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Electronic Check,90.31,353.2,2,Yes
CUST-100138,Male,1,Yes,No,18-25,Chennai,16,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-Month,Yes,Credit Card (Auto),76.25,1171.12,0,No
CUST-100139,Male,0,Yes,No,26-35,Delhi,41,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card (Auto),42.33,1728.47,0,No
CUST-100140,Female,0,Yes,No,26-35,Mumbai,7,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-Month,Yes,Mailed Check,76.36,540.9,3,Yes
CUST-100141,Male,0,Yes,No,18-25,Mumbai,17,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,One Year,No,Mailed Check,89.38,1507.75,2,No
CUST-100142,Female,0,Yes,No,18-25,Mumbai,10,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Bank Transfer (Auto),88.87,867.54,1,No
CUST-100143,Female,0,Yes,No,26-35,Chennai,2,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Electronic Check,83.09,179.64,1,Yes
CUST-100144,Female,0,Yes,No,26-35,Mumbai,72,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One Year,No,Electronic Check,76.68,5500.8,0,No
